Date,Open,High,Low,Close,Adj Close,Volume
2023-03-14,386.549988,387.149994,377.350006,379.450012,379.450012,4047426
2023-03-15,383.700012,383.700012,374.899994,375.750000,375.750000,3843963
2023-03-16,375.350006,376.700012,370.000000,372.850006,372.850006,3843310
2023-03-17,377.200012,378.350006,373.850006,376.500000,376.500000,4522141
2023-03-20,375.000000,375.950012,365.149994,367.149994,367.149994,4092377
2023-03-21,369.000000,370.250000,365.450012,366.399994,366.399994,3605576
2023-03-22,367.850006,370.000000,365.850006,366.399994,366.399994,2687423
2023-03-23,364.899994,364.899994,360.350006,361.500000,361.500000,4742596
2023-03-24,363.350006,366.850006,361.000000,361.750000,361.750000,3953348
2023-03-27,361.750000,364.000000,359.200012,361.250000,361.250000,3113857
2023-03-28,363.000000,364.049988,355.399994,356.200012,356.200012,3906548
2023-03-29,358.000000,360.750000,355.000000,359.049988,359.049988,4411920
2023-03-31,363.350006,365.750000,361.299988,365.250000,365.250000,3957106
2023-04-03,367.950012,368.399994,365.149994,367.950012,367.950012,2026750
2023-04-05,369.700012,371.899994,367.200012,369.750000,369.750000,3221555
2023-04-06,369.000000,370.450012,365.850006,366.649994,366.649994,3214807
2023-04-10,368.000000,374.399994,367.600006,373.299988,373.299988,2812470
2023-04-11,373.500000,374.850006,368.600006,370.250000,370.250000,3392177
2023-04-12,370.600006,373.450012,369.350006,372.149994,372.149994,2789105
2023-04-13,369.899994,369.899994,366.000000,368.299988,368.299988,3362317
2023-04-17,359.950012,361.950012,352.000000,361.350006,361.350006,6801645
2023-04-18,363.450012,368.899994,359.250000,367.899994,367.899994,4012449
2023-04-19,367.899994,367.899994,360.399994,360.799988,360.799988,3737972
2023-04-20,360.500000,363.700012,359.000000,362.850006,362.850006,2211633
2023-04-21,364.100006,368.700012,363.649994,368.049988,368.049988,2649994
2023-04-24,375.000000,378.600006,370.549988,377.950012,377.950012,8889522
2023-04-25,378.200012,378.899994,374.100006,375.649994,375.649994,3764276
2023-04-26,377.649994,377.649994,373.399994,374.549988,374.549988,3504073
2023-04-27,376.399994,376.600006,372.049988,374.399994,374.399994,4245850
2023-04-28,380.000000,388.000000,380.000000,385.000000,385.000000,13854703
2023-05-02,389.000000,392.149994,387.450012,388.350006,388.350006,4873304
2023-05-03,388.350006,388.350006,382.049988,385.100006,385.100006,2414244
2023-05-04,384.750000,386.149994,383.049988,383.700012,383.700012,3126679
2023-05-05,382.750000,384.399994,379.000000,379.399994,379.399994,3951097
2023-05-08,381.000000,383.000000,379.600006,380.350006,380.350006,4806772
2023-05-09,382.500000,383.450012,380.049988,382.299988,382.299988,2858349
2023-05-10,384.000000,384.549988,382.000000,383.750000,383.750000,1835201
2023-05-11,385.700012,386.850006,383.100006,384.649994,384.649994,2024982
2023-05-12,384.600006,385.250000,381.549988,383.250000,383.250000,2290179
2023-05-15,383.250000,387.000000,382.500000,385.750000,385.750000,2544847
2023-05-16,387.500000,388.799988,386.500000,386.950012,386.950012,2029676
2023-05-17,386.200012,387.350006,381.350006,382.299988,382.299988,2688051
2023-05-18,385.200012,385.350006,382.250000,382.600006,382.600006,2118508
2023-05-19,384.799988,388.200012,383.500000,386.200012,386.200012,3640791
2023-05-22,386.500000,396.600006,385.399994,395.750000,395.750000,6098695
2023-05-23,397.000000,402.100006,396.049988,397.649994,397.649994,6362817
2023-05-24,394.500000,400.450012,393.350006,399.700012,399.700012,4128487
2023-05-25,399.000000,399.000000,392.649994,394.100006,394.100006,6802527
2023-05-26,395.149994,402.549988,395.000000,401.700012,401.700012,3963090
2023-05-29,404.000000,406.000000,399.350006,399.799988,399.799988,3979654
2023-05-30,400.000000,403.850006,399.450012,402.500000,402.500000,3689486
2023-05-31,401.750000,404.799988,400.500000,403.649994,403.649994,5891791
2023-06-01,405.000000,408.000000,404.049988,407.149994,407.149994,3532742
2023-06-02,408.700012,409.799988,404.000000,404.950012,404.950012,3160377
2023-06-05,408.899994,409.750000,403.700012,404.200012,404.200012,3626430
2023-06-06,403.350006,403.350006,395.549988,399.950012,399.950012,6853700
2023-06-07,402.399994,403.600006,401.000000,402.799988,402.799988,4107930
2023-06-08,404.100006,404.750000,398.750000,399.549988,399.549988,5307526
2023-06-09,399.450012,400.350006,396.049988,397.299988,397.299988,6009116
2023-06-12,399.799988,399.799988,394.600006,395.600006,395.600006,5986811
2023-06-13,397.950012,398.500000,394.500000,395.549988,395.549988,6508093
2023-06-14,396.299988,397.149994,392.700012,396.450012,396.450012,9256282
2023-06-15,397.100006,397.450012,388.250000,388.950012,388.950012,14351160
2023-06-16,385.549988,388.649994,379.149994,381.299988,381.299988,20555324
2023-06-19,382.000000,382.000000,377.100006,380.149994,380.149994,5314720
2023-06-20,381.799988,384.950012,380.600006,382.500000,382.500000,5901329
2023-06-21,384.250000,387.250000,383.100006,385.500000,385.500000,4414632
2023-06-22,386.000000,386.000000,381.600006,382.299988,382.299988,4678087
2023-06-23,382.299988,383.000000,378.100006,379.950012,379.950012,3235203
2023-06-26,380.000000,381.899994,379.049988,380.899994,380.899994,2050200
2023-06-27,384.250000,384.250000,381.500000,382.600006,382.600006,2940375
2023-06-28,382.600006,382.600006,382.600006,382.600006,382.600006,0
2023-06-30,385.000000,389.750000,383.000000,389.149994,389.149994,4535405
2023-07-03,393.899994,393.899994,389.500000,391.600006,391.600006,4518462
2023-07-04,393.750000,397.350006,393.000000,395.950012,395.950012,6308617
2023-07-05,394.100006,395.399994,391.850006,393.899994,393.899994,6183479
2023-07-06,394.500000,396.950012,393.149994,396.200012,396.200012,4518621
2023-07-07,395.000000,397.450012,393.200012,395.850006,395.850006,4532610
2023-07-10,395.850006,395.850006,389.649994,389.950012,389.950012,2815200
2023-07-11,390.000000,392.799988,387.850006,392.049988,392.049988,4817419
2023-07-12,393.899994,393.950012,390.350006,391.850006,391.850006,3424110
2023-07-13,391.850006,398.600006,391.250000,394.299988,394.299988,6797863
2023-07-14,394.750000,405.500000,392.350006,405.049988,405.049988,15683392
2023-07-17,407.000000,424.950012,405.799988,415.250000,415.250000,22879930
2023-07-18,418.000000,420.299988,412.250000,417.200012,417.200012,8884513
2023-07-19,420.000000,421.000000,414.149994,417.950012,417.950012,5415495
2023-07-20,418.500000,420.000000,414.649994,417.649994,417.649994,4127855
2023-07-21,405.000000,414.350006,401.000000,404.700012,404.700012,11757106
2023-07-24,406.299988,408.000000,403.500000,404.049988,404.049988,3404230
2023-07-25,405.500000,405.500000,400.000000,400.399994,400.399994,3229100
2023-07-26,403.500000,403.600006,401.399994,402.750000,402.750000,2664831
2023-07-27,404.000000,406.600006,399.000000,399.950012,399.950012,4474179
2023-07-28,401.049988,402.850006,396.549988,398.750000,398.750000,3380030
2023-07-31,399.750000,406.000000,398.950012,405.049988,405.049988,3381090
2023-08-01,405.500000,408.000000,404.049988,406.950012,406.950012,3590902
2023-08-02,405.899994,405.899994,399.000000,402.799988,402.799988,2699809
2023-08-03,402.000000,402.000000,397.049988,399.649994,399.649994,3410849
2023-08-04,400.850006,410.000000,400.299988,408.850006,408.850006,6240770
2023-08-07,409.950012,413.000000,408.049988,411.149994,411.149994,4411433
2023-08-08,412.399994,417.500000,409.950012,416.350006,416.350006,7862142
2023-08-09,415.500000,418.500000,412.549988,417.799988,417.799988,4654694
2023-08-10,417.100006,420.799988,415.549988,418.649994,418.649994,4950822
2023-08-11,418.649994,422.149994,412.350006,413.049988,413.049988,3785734
2023-08-14,413.250000,416.200012,409.500000,415.149994,415.149994,2896090
2023-08-16,414.149994,420.200012,414.000000,418.649994,418.649994,4065890
2023-08-17,418.649994,420.399994,414.500000,417.549988,417.549988,3170480
2023-08-18,415.049988,416.350006,408.000000,411.700012,411.700012,5301196
2023-08-21,411.799988,417.350006,411.649994,414.600006,414.600006,3667130
2023-08-22,415.000000,418.100006,412.750000,417.100006,417.100006,3175120
2023-08-23,417.250000,417.950012,414.600006,415.250000,415.250000,3067117
2023-08-24,418.750000,420.000000,412.000000,412.700012,412.700012,2888478
2023-08-25,410.000000,411.299988,407.100006,409.700012,409.700012,3299255
2023-08-28,411.450012,412.450012,407.649994,408.049988,408.049988,1700987
2023-08-29,409.649994,411.899994,407.100006,408.100006,408.100006,1999281
2023-08-30,410.000000,410.200012,406.649994,407.200012,407.200012,2009091
2023-08-31,408.000000,410.000000,406.450012,408.399994,408.399994,11030976
2023-09-01,407.950012,417.750000,407.500000,416.350006,416.350006,4238065
2023-09-04,418.000000,436.500000,416.000000,434.100006,434.100006,13817324
2023-09-05,435.799988,437.500000,430.299988,431.850006,431.850006,8986713
2023-09-06,433.750000,435.549988,425.899994,429.299988,429.299988,6765956
2023-09-07,429.950012,433.700012,426.750000,432.850006,432.850006,4661325
2023-09-08,433.450012,433.450012,429.299988,430.000000,430.000000,2874205
2023-09-11,433.000000,437.500000,430.100006,434.850006,434.850006,4124647
