Date,Open,High,Low,Close,Adj Close,Volume
2023-01-30,479.000000,483.350006,463.950012,472.350006,469.285767,5804476
2023-01-31,474.950012,476.350006,465.500000,468.399994,465.361389,5679604
2023-02-01,473.000000,480.600006,454.600006,467.850006,464.814972,6075062
2023-02-02,467.000000,471.000000,460.799988,465.399994,462.380859,3356544
2023-02-03,467.750000,468.950012,450.200012,459.649994,456.668152,5707642
2023-02-06,457.000000,457.000000,446.000000,447.350006,444.447968,4398369
2023-02-07,440.000000,441.899994,425.500000,429.549988,426.763428,16652967
2023-02-08,432.000000,439.799988,432.000000,436.500000,433.668335,6121515
2023-02-09,437.000000,447.700012,431.750000,444.549988,441.666107,11431814
2023-02-10,444.549988,444.950012,431.000000,433.149994,430.340057,6648361
2023-02-13,434.500000,439.799988,426.549988,427.700012,424.925446,6437475
2023-02-14,429.500000,435.250000,425.350006,434.799988,431.979370,3951666
2023-02-15,435.500000,437.250000,430.600006,433.950012,431.134888,3623450
2023-02-16,436.899994,438.000000,433.000000,434.700012,431.880035,4282249
2023-02-17,434.750000,438.000000,426.600006,429.500000,426.713745,4014137
2023-02-20,429.899994,435.549988,429.000000,434.250000,431.432922,3749802
2023-02-21,437.750000,438.299988,430.000000,431.500000,428.700775,3761409
2023-02-22,430.500000,434.500000,426.750000,429.700012,426.912476,5276939
2023-02-23,430.399994,438.500000,430.100006,436.450012,433.618683,5037774
2023-02-24,438.000000,438.000000,414.250000,415.250000,412.556183,10814032
2023-02-27,415.000000,415.000000,401.500000,411.799988,409.128571,8301373
2023-02-28,413.500000,413.899994,398.000000,399.200012,396.610321,12174759
2023-03-01,402.000000,414.899994,401.649994,413.049988,410.370453,7935816
2023-03-02,415.000000,416.799988,408.000000,410.799988,408.135040,4804013
2023-03-03,413.200012,419.350006,412.200012,416.899994,414.195496,5102333
2023-03-06,419.000000,422.200012,413.899994,414.500000,411.811066,5071598
2023-03-08,409.950012,409.950012,396.100006,407.750000,405.104858,7044653
2023-03-09,411.000000,418.500000,408.000000,408.850006,406.197723,6982179
2023-03-10,403.000000,409.500000,395.399994,405.649994,403.018463,5239128
2023-03-13,409.000000,414.950012,398.500000,402.250000,399.640533,5962595
2023-03-14,404.299988,407.950012,399.450012,402.700012,400.087616,5841181
2023-03-15,407.950012,412.750000,405.000000,406.149994,403.515228,5681268
2023-03-16,400.600006,400.850006,383.100006,384.950012,382.452759,16739755
2023-03-17,389.250000,398.049988,386.549988,396.700012,394.126556,9861244
2023-03-20,393.750000,394.049988,381.000000,385.750000,383.247559,6331283
2023-03-21,387.700012,390.600006,384.950012,388.549988,386.029388,6080002
2023-03-22,390.100006,396.750000,388.250000,392.750000,390.202148,6511605
2023-03-23,387.000000,400.649994,386.000000,398.799988,396.212891,10453779
2023-03-24,400.799988,401.000000,386.149994,388.399994,385.880371,8833099
2023-03-27,390.000000,396.600006,389.399994,389.950012,387.420319,7066058
2023-03-28,393.000000,399.799988,391.750000,392.899994,390.351166,6424209
2023-03-29,394.899994,400.899994,389.899994,399.049988,396.461273,6959623
2023-03-31,404.049988,410.299988,401.100006,405.350006,402.720428,7468634
2023-04-03,406.500000,406.899994,399.549988,402.549988,399.938568,5200766
2023-04-05,402.000000,404.600006,394.299988,403.299988,400.683716,5607641
2023-04-06,401.000000,406.500000,398.750000,405.250000,402.621063,4174551
2023-04-10,406.799988,413.850006,405.500000,411.450012,408.780853,5327008
2023-04-11,412.899994,418.049988,411.149994,417.549988,414.841248,4965642
2023-04-12,419.899994,422.399994,415.600006,417.649994,414.940613,4701591
2023-04-13,418.049988,422.750000,415.350006,422.049988,419.312073,6368113
2023-04-17,422.350006,429.149994,421.600006,428.700012,425.918945,6920340
2023-04-18,430.000000,433.000000,427.899994,431.549988,428.750427,4866068
2023-04-19,434.399994,437.350006,431.299988,433.049988,430.240723,5982454
2023-04-20,431.899994,435.700012,428.049988,429.850006,427.061493,3830118
2023-04-21,430.000000,430.850006,419.000000,422.350006,419.610138,5139533
2023-04-24,419.000000,428.950012,418.350006,427.799988,425.024780,2308450
2023-04-25,425.000000,431.700012,425.000000,429.799988,427.011780,3648159
2023-04-26,425.600006,427.000000,422.100006,424.799988,422.044220,5184973
2023-04-27,425.000000,431.450012,422.049988,430.799988,428.005310,3271257
2023-04-28,433.500000,437.000000,430.899994,436.100006,433.270935,4913550
2023-05-02,439.000000,449.899994,438.000000,446.149994,443.255737,5178547
2023-05-03,441.000000,443.899994,434.250000,442.299988,439.430695,4826725
2023-05-04,445.000000,446.450012,440.500000,445.500000,442.609955,3100187
2023-05-05,443.000000,443.500000,432.649994,434.250000,431.432922,3034975
2023-05-08,438.250000,446.899994,436.200012,445.049988,442.162872,4090222
2023-05-09,444.549988,446.700012,439.200012,440.350006,437.493378,2941913
2023-05-10,441.000000,442.850006,433.649994,436.450012,433.618683,3075599
2023-05-11,434.000000,434.000000,419.549988,420.850006,418.119873,11081500
2023-05-12,419.000000,419.000000,403.799988,404.750000,402.124298,11152831
2023-05-15,408.500000,412.850006,404.350006,410.700012,408.035736,5148782
2023-05-16,413.600006,417.700012,411.000000,412.450012,409.774384,4010692
2023-05-17,411.799988,413.399994,405.549988,407.700012,405.055176,3727878
2023-05-18,411.000000,413.399994,405.649994,406.500000,403.862946,4078918
2023-05-19,408.000000,408.399994,400.399994,406.750000,404.111328,5523299
2023-05-22,406.000000,409.000000,402.700012,407.700012,405.055176,4237198
2023-05-23,409.200012,413.799988,406.899994,410.299988,407.638306,3690618
2023-05-24,408.899994,410.500000,403.600006,406.899994,404.260345,7866105
2023-05-25,404.500000,405.750000,397.799988,404.250000,401.627563,8018242
2023-05-26,405.100006,415.299988,403.100006,413.549988,410.867218,6401768
2023-05-29,417.000000,425.000000,415.500000,419.899994,417.176025,8350721
2023-05-30,421.500000,421.500000,411.600006,413.100006,410.420135,5596603
2023-05-31,410.500000,410.700012,404.350006,405.899994,403.266846,22945527
2023-06-01,409.049988,414.399994,405.899994,406.350006,403.713928,4269628
2023-06-02,412.049988,421.899994,412.049988,420.750000,418.020508,11695310
2023-06-05,424.850006,426.000000,418.399994,419.700012,416.977325,8039709
2023-06-06,419.700012,422.000000,413.799988,415.549988,412.854248,4383684
2023-06-07,418.000000,423.700012,413.850006,422.600006,419.858521,6911473
